geo_l2,resolution_count,pct_of_192
Western Asia,18,9.38
Eastern Europe,5,2.60
Middle Africa,2,1.04
South-eastern Asia,2,1.04
Southern Asia,2,1.04
Caribbean,1,0.52
Indian Ocean,1,0.52
Latin America and the Caribbean,1,0.52
Mediterranean Sea,1,0.52
Micronesia,1,0.52
Polynesia,1,0.52
