geo_l3,resolution_count,pct_of_95
State of Palestine,12,12.63
Israel,10,10.53
Syrian Arab Republic,10,10.53
Lebanon,6,6.32
Jordan,4,4.21
Ukraine,2,2.11
Bosnia and Herzegovina,1,1.05
Cuba,1,1.05
Georgia,1,1.05
Iran (Islamic Republic of),1,1.05
United States of America,1,1.05
