country,topic_l2,year,resolution_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,not_recorded_pct,country_missing_count,unknown_vote_count
USA,GENERAL AND NATIONAL LAW,2025,8,8,0,0.00,0,0.00,8,100.00,0,0.00,0,0
USA,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,2024,3,3,0,0.00,0,0.00,3,100.00,0,0.00,0,0
USA,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,2025,5,5,0,0.00,0,0.00,5,100.00,0,0.00,0,0
USA,GEOGRAPHY,2024,0,0,0,,0,,0,,0,,0,0
USA,GEOGRAPHY,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,HOUSING,2024,0,0,0,,0,,0,,0,,0,0
USA,HOUSING,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,HUMAN RIGHTS,2024,13,13,3,23.08,1,7.69,9,69.23,0,0.00,0,0
USA,HUMAN RIGHTS,2025,19,19,2,10.53,0,0.00,17,89.47,0,0.00,0,0
USA,INTERNATIONAL LAW,2024,10,10,4,40.00,2,20.00,4,40.00,0,0.00,0,0
USA,INTERNATIONAL LAW,2025,44,44,2,4.55,4,9.09,38,86.36,0,0.00,0,0
USA,INTERNATIONAL RELATIONS,2024,28,28,9,32.14,4,14.29,15,53.57,0,0.00,0,0
USA,INTERNATIONAL RELATIONS,2025,48,48,4,8.33,0,0.00,44,91.67,0,0.00,0,0
USA,INTERNATIONAL TRADE LAW,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,INTERNATIONAL TRADE LAW,2025,0,0,0,,0,,0,,0,,0,0
USA,LAND FORMS AND ECOSYSTEMS,2024,0,0,0,,0,,0,,0,,0,0
USA,LAND FORMS AND ECOSYSTEMS,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,LAND TRANSPORT,2024,0,0,0,,0,,0,,0,,0,0
USA,LAND TRANSPORT,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,"LAND, PLANT AND SOIL RESOURCES",2024,0,0,0,,0,,0,,0,,0,0
USA,"LAND, PLANT AND SOIL RESOURCES",2025,5,5,0,0.00,0,0.00,5,100.00,0,0.00,0,0
USA,LANGUAGE,2024,0,0,0,,0,,0,,0,,0,0
USA,LANGUAGE,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
