country,topic_l2,year,resolution_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,not_recorded_pct,country_missing_count,unknown_vote_count
CPV,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,2024,5,4,4,100.00,0,0.00,0,0.00,1,20.00,0,0
CPV,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,2025,8,8,8,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,PSYCHOLOGY,2024,0,0,0,,0,,0,,0,,0,0
CPV,PSYCHOLOGY,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,PUBLIC FINANCE,2024,1,0,0,,0,,0,,1,100.00,0,0
CPV,PUBLIC FINANCE,2025,4,4,4,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,RECOMMENDATIONS,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,RECOMMENDATIONS,2025,1,0,0,,0,,0,,1,100.00,0,0
CPV,RESOURCES (GENERAL),2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,RESOURCES (GENERAL),2025,9,9,9,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,SETTLEMENT PLANNING,2024,0,0,0,,0,,0,,0,,0,0
CPV,SETTLEMENT PLANNING,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,SOCIAL DEVELOPMENT,2024,8,7,7,100.00,0,0.00,0,0.00,1,12.50,0,0
CPV,SOCIAL DEVELOPMENT,2025,24,24,24,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,SPACE SCIENCES,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,SPACE SCIENCES,2025,5,5,5,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,SPECIAL CATEGORIES OF WORKERS,2024,0,0,0,,0,,0,,0,,0,0
CPV,SPECIAL CATEGORIES OF WORKERS,2025,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,SPECIAL ECONOMIC AREAS,2024,0,0,0,,0,,0,,0,,0,0
CPV,SPECIAL ECONOMIC AREAS,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,SPECIAL HUMANITARIAN OPERATIONS,2024,0,0,0,,0,,0,,0,,0,0
CPV,SPECIAL HUMANITARIAN OPERATIONS,2025,5,5,5,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,STATISTICS,2024,0,0,0,,0,,0,,0,,0,0
CPV,STATISTICS,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,TAXATION,2024,1,0,0,,0,,0,,1,100.00,0,0
CPV,TAXATION,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,TELECOMMUNICATIONS,2024,0,0,0,,0,,0,,0,,0,0
CPV,TELECOMMUNICATIONS,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,TRADE IN COMMODITIES,2024,0,0,0,,0,,0,,0,,0,0
CPV,TRADE IN COMMODITIES,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,TRADE IN MANUFACTURES; BARRIERS TO TRADE,2024,0,0,0,,0,,0,,0,,0,0
CPV,TRADE IN MANUFACTURES; BARRIERS TO TRADE,2025,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,TRADE RELATED FINANCE,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,TRADE RELATED FINANCE,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,TRANSPORT POLICY AND PLANNING,2024,0,0,0,,0,,0,,0,,0,0
CPV,TRANSPORT POLICY AND PLANNING,2025,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,WATER,2024,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,WATER,2025,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,WELFARE AND SOCIAL SERVICES,2024,2,1,1,100.00,0,0.00,0,0.00,1,50.00,0,0
CPV,WELFARE AND SOCIAL SERVICES,2025,14,14,14,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,WILDLIFE,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,WILDLIFE,2025,4,4,4,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,WOMEN'S ADVANCEMENT,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,WOMEN'S ADVANCEMENT,2025,4,3,3,100.00,0,0.00,0,0.00,0,0.00,1,0
