country,2024_resolution_count,2025_resolution_count,2024_recorded_vote_count,2025_recorded_vote_count,recorded_vote_count_change,2024_not_recorded_count,2025_not_recorded_count,not_recorded_count_change,2024_yes_count,2025_yes_count,yes_count_change,2024_yes_pct,2025_yes_pct,yes_pct_change_pp,2024_abstain_count,2025_abstain_count,abstain_count_change,2024_abstain_pct,2025_abstain_pct,abstain_pct_change_pp,2024_no_count,2025_no_count,no_count_change,2024_no_pct,2025_no_pct,no_pct_change_pp
USA,95,192,94,192,98,1,0,-1,32,10,-22,34.04,5.21,-28.83,11,8,-3,11.70,4.17,-7.54,51,174,123,54.26,90.62,36.37
CPV,95,192,80,184,104,15,4,-11,80,184,104,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00
