country,topic_l1,status,2024_resolution_count,2025_resolution_count,resolution_count_change,2024_recorded_vote_count,2025_recorded_vote_count,recorded_vote_count_change,2024_not_recorded_count,2025_not_recorded_count,not_recorded_count_change,2024_country_missing_count,2025_country_missing_count,country_missing_count_change,2024_unknown_vote_count,2025_unknown_vote_count,unknown_vote_count_change,2024_yes_count,2025_yes_count,yes_count_change,2024_yes_pct,2025_yes_pct,yes_pct_change_pp,2024_abstain_count,2025_abstain_count,abstain_count_change,2024_abstain_pct,2025_abstain_pct,abstain_pct_change_pp,2024_no_count,2025_no_count,no_count_change,2024_no_pct,2025_no_pct,no_pct_change_pp,abs_yes_pct_change_pp
CPV,POLITICAL AND LEGAL QUESTIONS,PRESENT_IN_BOTH,80,131,51,67,125,58,13,3,-10,0,3,3,0,0,0,67,125,58,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,PRESENT_IN_BOTH,10,45,35,8,45,37,2,0,-2,0,0,0,0,0,0,8,45,37,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,SOCIAL CONDITIONS AND EQUITY,PRESENT_IN_BOTH,16,35,19,14,34,20,2,0,-2,0,1,1,0,0,0,14,34,20,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,NATURAL RESOURCES AND THE ENVIRONMENT,PRESENT_IN_BOTH,7,30,23,7,30,23,0,0,0,0,0,0,0,0,0,7,30,23,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,HUMANITARIAN AID AND RELIEF,PRESENT_IN_BOTH,5,16,11,4,16,12,1,0,-1,0,0,0,0,0,0,4,16,12,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,SCIENCE AND TECHNOLOGY,PRESENT_IN_BOTH,6,16,10,3,15,12,3,0,-3,0,1,1,0,0,0,3,15,12,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,INTERNATIONAL TRADE,PRESENT_IN_BOTH,3,6,3,3,6,3,0,0,0,0,0,0,0,0,0,3,6,3,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,RECOMMENDATIONS,PRESENT_IN_BOTH,1,1,0,1,0,-1,0,1,1,0,0,0,0,0,0,1,0,-1,100.00,,,0,0,0,0.00,,,0,0,0,0.00,,,
CPV,CULTURE,NEW_IN_2025,0,8,8,0,7,7,0,1,1,0,0,0,0,0,0,0,7,7,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,"AGRICULTURE, FORESTRY AND FISHING",NEW_IN_2025,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,HEALTH,NEW_IN_2025,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,TRANSPORT AND COMMUNICATIONS,NEW_IN_2025,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,EDUCATION,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,EMPLOYMENT,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,HUMAN SETTLEMENTS,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
USA,RECOMMENDATIONS,PRESENT_IN_BOTH,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,100.00,0.00,-100.00,0,0,0,0.00,0.00,0.00,0,1,1,0.00,100.00,100.00,100.00
USA,SCIENCE AND TECHNOLOGY,PRESENT_IN_BOTH,6,16,10,5,16,11,1,0,-1,0,0,0,0,0,0,4,0,-4,80.00,0.00,-80.00,0,0,0,0.00,0.00,0.00,1,16,15,20.00,100.00,80.00,80.00
USA,NATURAL RESOURCES AND THE ENVIRONMENT,PRESENT_IN_BOTH,7,30,23,7,30,23,0,0,0,0,0,0,0,0,0,4,0,-4,57.14,0.00,-57.14,1,4,3,14.29,13.33,-0.95,2,26,24,28.57,86.67,58.10,57.14
USA,POLITICAL AND LEGAL QUESTIONS,PRESENT_IN_BOTH,80,131,51,79,131,52,1,0,-1,0,0,0,0,0,0,28,10,-18,35.44,7.63,-27.81,9,8,-1,11.39,6.11,-5.29,42,113,71,53.16,86.26,33.09,27.81
USA,HUMANITARIAN AID AND RELIEF,PRESENT_IN_BOTH,5,16,11,5,16,11,0,0,0,0,0,0,0,0,0,2,2,0,40.00,12.50,-27.50,1,2,1,20.00,12.50,-7.50,2,12,10,40.00,75.00,35.00,27.50
USA,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,PRESENT_IN_BOTH,10,45,35,10,45,35,0,0,0,0,0,0,0,0,0,2,0,-2,20.00,0.00,-20.00,0,0,0,0.00,0.00,0.00,8,45,37,80.00,100.00,20.00,20.00
USA,SOCIAL CONDITIONS AND EQUITY,PRESENT_IN_BOTH,16,35,19,16,35,19,0,0,0,0,0,0,0,0,0,4,2,-2,25.00,5.71,-19.29,2,0,-2,12.50,0.00,-12.50,10,33,23,62.50,94.29,31.79,19.29
USA,INTERNATIONAL TRADE,PRESENT_IN_BOTH,3,6,3,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,3,6,3,100.00,100.00,0.00,0.00
USA,CULTURE,NEW_IN_2025,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,,0,0,0,,0.00,,0,8,8,,100.00,,
USA,"AGRICULTURE, FORESTRY AND FISHING",NEW_IN_2025,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,,0,0,0,,0.00,,0,7,7,,100.00,,
USA,HEALTH,NEW_IN_2025,0,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,,0,0,0,,0.00,,0,7,7,,100.00,,
USA,TRANSPORT AND COMMUNICATIONS,NEW_IN_2025,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,,0,0,0,,0.00,,0,4,4,,100.00,,
USA,EDUCATION,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,,0,0,0,,0.00,,0,3,3,,100.00,,
USA,EMPLOYMENT,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,,0,0,0,,0.00,,0,2,2,,100.00,,
USA,HUMAN SETTLEMENTS,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,,0,0,0,,0.00,,0,2,2,,100.00,,
