iso3,p3_2025,world_avg_2025,diff_from_world_avg,broad_region,broad_region_avg_2025,diff_from_broad_region_avg,region,majority_alignment_rate_2025,vote_mix_distance_l1_2025,total_2025
SGP,98.13,92.84,5.29,South-eastern Asia,98.19,-0.06,South-eastern Asia,96.35,16.64,192
MYS,98.13,92.84,5.3,South-eastern Asia,98.19,-0.05,South-eastern Asia,96.35,16.64,192
SEN,98.34,92.84,5.5,Sub-Saharan Africa,96.68,1.66,Western Africa,96.76,17.45,185
COL,98.4,92.84,5.57,Latin America & Caribbean,95.39,3.01,South America,96.88,17.69,192
MDV,98.4,92.84,5.57,Southern Asia,95.88,2.52,Southern Asia,96.88,17.69,192
THA,98.4,92.84,5.57,South-eastern Asia,98.19,0.22,South-eastern Asia,96.88,17.69,192
GRD,98.48,92.84,5.65,Latin America & Caribbean,95.39,3.09,Caribbean,97.03,17.99,101
DJI,98.6,92.84,5.76,Sub-Saharan Africa,96.68,1.92,Eastern Africa,97.25,18.44,182
MAR,98.6,92.84,5.76,Africa,96.69,1.9,Northern Africa,97.25,18.44,182
BTN,98.61,92.84,5.78,Southern Asia,95.88,2.73,Southern Asia,97.28,18.5,184
MUS,98.62,92.84,5.78,Sub-Saharan Africa,96.68,1.94,Eastern Africa,97.3,18.53,185
BOL,98.69,92.84,5.86,Latin America & Caribbean,95.39,3.31,South America,97.5,18.94,40
GNB,98.69,92.84,5.86,Sub-Saharan Africa,96.68,2.01,Western Africa,97.44,18.81,156
SWZ,98.79,92.84,5.95,Sub-Saharan Africa,96.68,2.11,Southern Africa,97.62,19.17,84
SLE,98.85,92.84,6.01,Sub-Saharan Africa,96.68,2.17,Western Africa,97.74,19.42,177
TCD,98.9,92.84,6.07,Sub-Saharan Africa,96.68,2.22,Middle Africa,97.85,19.63,186
DOM,98.92,92.84,6.09,Latin America & Caribbean,95.39,3.54,Caribbean,97.88,19.7,189
TTO,98.93,92.84,6.09,Latin America & Caribbean,95.39,3.54,Caribbean,97.89,19.72,190
GUY,98.94,92.84,6.1,Latin America & Caribbean,95.39,3.55,South America,97.92,19.77,192
MEX,98.94,92.84,6.1,Latin America & Caribbean,95.39,3.55,Central America,97.92,19.77,192
PHL,98.94,92.84,6.1,South-eastern Asia,98.19,0.75,South-eastern Asia,97.92,19.77,192
MWI,99.0,92.84,6.17,Sub-Saharan Africa,96.68,2.32,Eastern Africa,98.04,20.01,153
COM,99.07,92.84,6.24,Sub-Saharan Africa,96.68,2.39,Eastern Africa,98.18,20.3,165
LCA,99.09,92.84,6.26,Latin America & Caribbean,95.39,3.71,Caribbean,98.21,20.36,168
HND,99.12,92.84,6.28,Latin America & Caribbean,95.39,3.73,Central America,98.27,20.47,173
ATG,99.13,92.84,6.29,Latin America & Caribbean,95.39,3.74,Caribbean,98.29,20.51,175
KNA,99.16,92.84,6.32,Latin America & Caribbean,95.39,3.77,Caribbean,98.34,20.62,181
VUT,99.16,92.84,6.33,Oceania,91.48,7.68,Melanesia,98.35,20.64,182
BHS,99.18,92.84,6.34,Latin America & Caribbean,95.39,3.79,Caribbean,98.38,20.69,185
MMR,99.19,92.84,6.35,South-eastern Asia,98.19,1.0,South-eastern Asia,98.4,20.74,188
TKM,99.19,92.84,6.36,Central Asia,97.61,1.58,Central Asia,98.43,20.79,127
SOM,99.26,92.84,6.42,Sub-Saharan Africa,96.68,2.58,Eastern Africa,98.54,21.02,137
BEN,99.36,92.84,6.52,Sub-Saharan Africa,96.68,2.68,Western Africa,98.73,21.4,79
