iso3,p3_2025,p3_rank_2025,p1_2025,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,no_pct_2025,abstain_pct_2025,majority_alignment_rate_2025,vote_mix_distance_l1_2025,diff_from_world_avg_2025,region,broad_region
SGP,98.13,47,82.41,98.06,185,0,7,192,96.4,0.0,3.6,96.35,16.64,5.29,South-eastern Asia,South-eastern Asia
COG,98.12,48,75.53,98.86,158,0,6,164,96.3,0.0,3.7,96.34,16.62,5.29,Middle Africa,Sub-Saharan Africa
PER,98.11,49,97.48,97.68,183,0,7,190,96.3,0.0,3.7,96.32,16.57,5.27,South America,Latin America & Caribbean
LSO,97.96,50,77.58,98.94,169,0,7,176,96.0,0.0,4.0,96.02,15.98,5.12,Southern Africa,Sub-Saharan Africa
GIN,97.92,51,81.61,99.64,166,0,7,173,96.0,0.0,4.0,95.95,15.84,5.08,Western Africa,Sub-Saharan Africa
HTI,97.9,52,84.36,97.44,164,1,6,171,95.9,0.6,3.5,95.91,15.75,5.06,Caribbean,Latin America & Caribbean
GHA,97.89,53,91.35,99.63,164,0,7,171,95.9,0.0,4.1,95.91,15.75,5.06,Western Africa,Sub-Saharan Africa
BRN,97.86,54,74.81,98.7,184,2,6,192,95.8,1.0,3.1,95.83,15.6,5.03,South-eastern Asia,South-eastern Asia
BWA,97.86,55,80.66,100.0,138,0,6,144,95.8,0.0,4.2,95.83,15.6,5.02,Southern Africa,Sub-Saharan Africa
BFA,97.85,57,91.53,97.36,163,6,1,170,95.9,3.5,0.6,95.88,15.7,5.01,Western Africa,Sub-Saharan Africa
BGD,97.85,56,84.55,99.29,183,1,7,191,95.8,0.5,3.7,95.81,15.56,5.01,Southern Asia,Southern Asia
TUN,97.84,58,84.24,98.67,182,1,7,190,95.8,0.5,3.7,95.79,15.51,5.0,Northern Africa,Africa
CIV,97.83,59,83.81,96.38,182,0,8,190,95.8,0.0,4.2,95.79,15.51,5.0,Western Africa,Sub-Saharan Africa
ERI,97.71,60,75.39,97.89,173,5,3,181,95.6,2.8,1.7,95.58,15.1,4.88,Eastern Africa,Sub-Saharan Africa
GMB,97.61,61,92.23,98.91,165,0,8,173,95.4,0.0,4.6,95.38,14.69,4.78,Western Africa,Sub-Saharan Africa
IDN,97.59,62,76.42,98.38,183,2,7,192,95.3,1.0,3.6,95.31,14.56,4.75,South-eastern Asia,South-eastern Asia
BRA,97.58,63,73.98,97.06,183,0,9,192,95.3,0.0,4.7,95.31,14.56,4.75,South America,Latin America & Caribbean
JOR,97.57,64,84.2,98.55,182,1,8,191,95.3,0.5,4.2,95.29,14.51,4.74,Western Asia,Western Asia
KHM,97.55,65,85.3,98.68,181,0,9,190,95.3,0.0,4.7,95.26,14.46,4.72,South-eastern Asia,South-eastern Asia
NPL,97.55,65,87.99,99.31,181,0,9,190,95.3,0.0,4.7,95.26,14.46,4.72,Southern Asia,Southern Asia
VNM,97.55,67,77.44,98.02,180,1,8,189,95.2,0.5,4.2,95.24,14.41,4.71,South-eastern Asia,South-eastern Asia
