iso3,topic,country_total_votes_2024,country_total_votes_2025,world_total_votes_2025,country_yes_pct_2024,country_yes_pct_2025,country_yes_pct_change,world_yes_pct_2024,world_yes_pct_2025,world_yes_pct_change,gap_vs_world_yes_2024,gap_vs_world_yes_2025,abs_gap_change
AND,HUMAN RIGHTS,17,19,3260,47.1,73.7,26.6,69.6,87.5,17.9,-22.5,-13.8,-8.7
AND,SPACE SCIENCES,2,5,887,50.0,60.0,10.0,84.9,86.2,1.4,-34.9,-26.2,-8.6
AND,INTERNATIONAL RELATIONS,30,47,8074,66.7,83.0,16.3,75.9,84.2,8.3,-9.3,-1.2,-8.0
AND,RESOURCES (GENERAL),1,9,1613,100.0,100.0,0.0,90.0,96.6,6.6,10.0,3.4,-6.6
AND,NATURAL RESOURCES AND THE ENVIRONMENT,7,29,5226,100.0,100.0,0.0,90.2,96.7,6.5,9.8,3.3,-6.5
AND,INTERNATIONAL LAW,11,44,7745,90.9,79.5,-11.4,79.0,85.8,6.8,11.9,-6.2,-5.7
AND,POLITICAL EVENTS AND ISSUES,16,21,3546,56.2,76.2,19.9,66.1,81.8,15.7,-9.8,-5.6,-4.3
AND,WOMEN'S ADVANCEMENT,1,4,672,100.0,100.0,0.0,94.1,97.5,3.4,5.9,2.5,-3.4
AND,POLITICAL AND LEGAL QUESTIONS,79,130,22664,70.9,78.5,7.6,78.5,84.4,5.9,-7.7,-6.0,-1.7
AND,MARINE RESOURCES,3,7,1216,100.0,100.0,0.0,95.6,97.4,1.7,4.4,2.6,-1.7
AND,DISCRIMINATION,9,8,1410,44.4,62.5,18.1,69.5,86.1,16.6,-25.1,-23.6,-1.5
AND,WILDLIFE,1,3,666,100.0,100.0,0.0,97.6,99.1,1.5,2.4,0.9,-1.5
AND,ENVIRONMENT,3,24,4347,100.0,100.0,0.0,96.6,96.4,-0.3,3.4,3.6,0.3
AND,MAINTENANCE OF PEACE AND SECURITY,31,47,8076,80.6,85.1,4.5,77.3,81.3,4.1,3.4,3.8,0.4
AND,GENERAL AND NATIONAL LAW,1,8,1423,100.0,87.5,-12.5,95.7,94.6,-1.1,4.3,-7.1,2.8
AND,COMPUTER SCIENCE AND TECHNOLOGY,1,6,1066,100.0,100.0,0.0,95.8,91.7,-4.1,4.2,8.3,4.1
AND,DISARMAMENT AND MILITARY QUESTIONS,40,42,7411,77.5,76.2,-1.3,80.6,83.8,3.2,-3.1,-7.6,4.6
AND,HUMANITARIAN AID AND RELIEF,5,16,2745,80.0,100.0,20.0,82.9,87.4,4.5,-2.9,12.6,9.7
AND,POLLUTION,3,3,503,100.0,100.0,0.0,95.3,85.5,-9.8,4.7,14.5,9.8
AND,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,5,8,1390,80.0,100.0,20.0,82.9,84.5,1.6,-2.9,15.5,12.6
AND,PUBLIC FINANCE,1,4,728,100.0,50.0,-50.0,95.7,83.8,-11.9,4.3,-33.8,29.5
ARG,HUMANITARIAN AID AND RELIEF,5,12,2745,20.0,41.7,21.7,82.9,87.4,4.5,-62.9,-45.7,-17.2
ARG,POLLUTION,3,3,503,66.7,66.7,0.0,95.3,85.5,-9.8,-28.6,-18.8,-9.8
ARG,RESOURCES (GENERAL),1,7,1613,0.0,14.3,14.3,90.0,96.6,6.6,-90.0,-82.3,-7.7
ARG,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,5,8,1390,20.0,25.0,5.0,82.9,84.5,1.6,-62.9,-59.5,-3.4
ARG,WILDLIFE,1,2,666,100.0,100.0,0.0,97.6,99.1,1.5,2.4,0.9,-1.5
ARG,WELFARE AND SOCIAL SERVICES,2,12,2466,0.0,8.3,8.3,85.1,95.7,10.6,-85.1,-87.3,2.3
ARG,DISARMAMENT AND MILITARY QUESTIONS,41,41,7411,48.8,43.9,-4.9,80.6,83.8,3.2,-31.8,-39.9,8.1
ARG,MAINTENANCE OF PEACE AND SECURITY,31,43,8076,38.7,27.9,-10.8,77.3,81.3,4.1,-38.6,-53.4,14.9
ARG,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,3,5,904,33.3,20.0,-13.3,80.9,82.9,2.0,-47.5,-62.9,15.3
ARG,INTERNATIONAL RELATIONS,31,36,8074,38.7,27.8,-10.9,75.9,84.2,8.3,-37.2,-56.4,19.2
ARG,POLITICAL AND LEGAL QUESTIONS,80,116,22664,46.2,32.8,-13.5,78.5,84.4,5.9,-32.3,-51.7,19.4
ARG,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,1,6,1055,0.0,16.7,16.7,57.7,94.1,36.4,-57.7,-77.5,19.8
ARG,SOCIAL DEVELOPMENT,8,21,4224,12.5,9.5,-3.0,75.3,93.6,18.3,-62.8,-84.1,21.3
ARG,INTERNATIONAL TRADE,3,6,1087,33.3,16.7,-16.7,80.9,85.5,4.6,-47.5,-68.8,21.3
ARG,SPACE SCIENCES,3,5,887,66.7,40.0,-26.7,84.9,86.2,1.4,-18.2,-46.2,28.1
ARG,MARINE RESOURCES,3,5,1216,66.7,40.0,-26.7,95.6,97.4,1.7,-29.0,-57.4,28.4
ARG,DEVELOPMENT,7,31,7917,28.6,12.9,-15.7,76.3,93.7,17.4,-47.8,-80.8,33.0
ARG,POLITICAL EVENTS AND ISSUES,16,20,3546,43.8,25.0,-18.8,66.1,81.8,15.7,-22.3,-56.8,34.4
ARG,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,10,32,8097,40.0,12.5,-27.5,79.8,93.1,13.4,-39.8,-80.6,40.9
ARG,INTERNATIONAL LAW,11,42,7745,54.5,19.0,-35.5,79.0,85.8,6.8,-24.5,-66.7,42.3
ARG,ECONOMIC CONDITIONS,2,8,1978,50.0,12.5,-37.5,85.1,91.2,6.0,-35.1,-78.7,43.5
ARG,NATURAL RESOURCES AND THE ENVIRONMENT,7,19,5226,71.4,31.6,-39.8,90.2,96.7,6.5,-18.8,-65.1,46.3
ARG,SCIENCE AND TECHNOLOGY,8,16,2794,75.0,31.2,-43.8,85.5,90.7,5.1,-10.5,-59.4,48.9
ARG,SOCIAL CONDITIONS AND EQUITY,20,32,6127,45.0,15.6,-29.4,71.1,91.6,20.4,-26.1,-76.0,49.8
ARG,HUMAN RIGHTS,17,18,3260,52.9,16.7,-36.3,69.6,87.5,17.9,-16.6,-70.8,54.2
ARG,ENERGY RESOURCES,1,3,539,100.0,0.0,-100.0,58.9,95.5,36.6,41.1,-95.5,54.5
ARG,DEVELOPMENT FINANCE,2,7,2001,50.0,0.0,-50.0,85.1,90.9,5.8,-35.1,-90.9,55.8
ARG,DISCRIMINATION,9,8,1410,66.7,25.0,-41.7,69.5,86.1,16.6,-2.9,-61.1,58.2
ARG,ENVIRONMENT,3,14,4347,100.0,28.6,-71.4,96.6,96.4,-0.3,3.4,-67.8,64.4
ARG,GENERAL AND NATIONAL LAW,1,7,1423,100.0,14.3,-85.7,95.7,94.6,-1.1,4.3,-80.3,76.0
ARG,PUBLIC FINANCE,1,3,728,100.0,0.0,-100.0,95.7,83.8,-11.9,4.3,-83.8,79.5
ARG,COMPUTER SCIENCE AND TECHNOLOGY,1,6,1066,100.0,0.0,-100.0,95.8,91.7,-4.1,4.2,-91.7,87.4
ARG,WOMEN'S ADVANCEMENT,1,4,672,100.0,0.0,-100.0,94.1,97.5,3.4,5.9,-97.5,91.5
ARM,ENERGY RESOURCES,1,3,539,0.0,100.0,100.0,58.9,95.5,36.6,-58.9,4.5,-54.5
ARM,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,1,6,1055,0.0,100.0,100.0,57.7,94.1,36.4,-57.7,5.9,-51.8
ARM,DEVELOPMENT FINANCE,2,11,2001,50.0,90.9,40.9,85.1,90.9,5.8,-35.1,0.0,-35.1
ARM,ECONOMIC CONDITIONS,2,10,1978,50.0,100.0,50.0,85.1,91.2,6.0,-35.1,8.8,-26.3
ARM,DISCRIMINATION,9,7,1410,44.4,85.7,41.3,69.5,86.1,16.6,-25.1,-0.4,-24.7
ARM,POLITICAL EVENTS AND ISSUES,15,21,3546,46.7,81.0,34.3,66.1,81.8,15.7,-19.4,-0.8,-18.6
ARM,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,5,8,1390,100.0,87.5,-12.5,82.9,84.5,1.6,17.1,3.0,-14.1
ARM,POLITICAL AND LEGAL QUESTIONS,75,121,22664,64.0,82.6,18.6,78.5,84.4,5.9,-14.5,-1.8,-12.8
ARM,INTERNATIONAL RELATIONS,28,46,8074,60.7,87.0,26.2,75.9,84.2,8.3,-15.2,2.7,-12.5
ARM,HUMANITARIAN AID AND RELIEF,5,16,2745,100.0,93.8,-6.2,82.9,87.4,4.5,17.1,6.4,-10.7
ARM,WELFARE AND SOCIAL SERVICES,2,14,2466,100.0,100.0,0.0,85.1,95.7,10.6,14.9,4.3,-10.6
ARM,HUMAN RIGHTS,17,18,3260,52.9,94.4,41.5,69.6,87.5,17.9,-16.6,7.0,-9.7
ARM,DISARMAMENT AND MILITARY QUESTIONS,39,38,7411,61.5,73.7,12.1,80.6,83.8,3.2,-19.1,-10.2,-8.9
ARM,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,10,44,8097,90.0,95.5,5.5,79.8,93.1,13.4,10.2,2.3,-7.9
ARM,INTERNATIONAL LAW,10,40,7745,90.0,82.5,-7.5,79.0,85.8,6.8,11.0,-3.3,-7.7
ARM,MAINTENANCE OF PEACE AND SECURITY,27,45,8076,66.7,84.4,17.8,77.3,81.3,4.1,-10.6,3.1,-7.5
ARM,RESOURCES (GENERAL),1,8,1613,100.0,100.0,0.0,90.0,96.6,6.6,10.0,3.4,-6.6
ARM,SOCIAL CONDITIONS AND EQUITY,20,34,6127,60.0,97.1,37.1,71.1,91.6,20.4,-11.1,5.5,-5.6
ARM,DEVELOPMENT,7,43,7917,85.7,97.7,12.0,76.3,93.7,17.4,9.4,4.0,-5.4
ARM,WOMEN'S ADVANCEMENT,1,4,672,100.0,100.0,0.0,94.1,97.5,3.4,5.9,2.5,-3.4
ARM,MARINE RESOURCES,3,7,1216,100.0,100.0,0.0,95.6,97.4,1.7,4.4,2.6,-1.7
ARM,WILDLIFE,1,4,666,100.0,100.0,0.0,97.6,99.1,1.5,2.4,0.9,-1.5
ARM,SPACE SCIENCES,3,5,887,100.0,100.0,0.0,84.9,86.2,1.4,15.1,13.8,-1.4
ARM,NATURAL RESOURCES AND THE ENVIRONMENT,7,29,5226,85.7,100.0,14.3,90.2,96.7,6.5,-4.5,3.3,-1.2
ARM,ENVIRONMENT,3,24,4347,100.0,100.0,0.0,96.6,96.4,-0.3,3.4,3.6,0.3
ARM,INTERNATIONAL TRADE,3,5,1087,66.7,100.0,33.3,80.9,85.5,4.6,-14.2,14.5,0.3
ARM,GENERAL AND NATIONAL LAW,1,7,1423,100.0,100.0,0.0,95.7,94.6,-1.1,4.3,5.4,1.1
ARM,GENERAL INTERNATIONAL TRADE AND TRADE POLICY,3,4,904,66.7,100.0,33.3,80.9,82.9,2.0,-14.2,17.1,3.0
ARM,COMPUTER SCIENCE AND TECHNOLOGY,1,5,1066,100.0,100.0,0.0,95.8,91.7,-4.1,4.2,8.3,4.1
ARM,PUBLIC FINANCE,1,4,728,100.0,75.0,-25.0,95.7,83.8,-11.9,4.3,-8.8,4.5
ARM,SOCIAL DEVELOPMENT,8,24,4224,75.0,100.0,25.0,75.3,93.6,18.3,-0.3,6.4,6.1
ARM,SCIENCE AND TECHNOLOGY,8,15,2794,87.5,100.0,12.5,85.5,90.7,5.1,2.0,9.3,7.4
ARM,POLLUTION,3,3,503,100.0,100.0,0.0,95.3,85.5,-9.8,4.7,14.5,9.8
AUS,DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,1,6,1055,0.0,100.0,100.0,57.7,94.1,36.4,-57.7,5.9,-51.8
AUS,DEVELOPMENT,7,44,7917,28.6,84.1,55.5,76.3,93.7,17.4,-47.8,-9.6,-38.1
AUS,ENERGY RESOURCES,1,3,539,100.0,100.0,0.0,58.9,95.5,36.6,41.1,4.5,-36.6
AUS,ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,10,45,8097,40.0,82.2,42.2,79.8,93.1,13.4,-39.8,-10.9,-28.9
