iso3,year,p2_score,yes,no,abstain,total
RUS,2018,70.16,69,19,19,107
RUS,2019,63.0,64,20,12,96
RUS,2020,68.78,66,19,15,100
RUS,2021,61.79,52,21,13,86
RUS,2022,49.02,49,23,17,89
RUS,2023,44.71,45,31,12,88
RUS,2024,47.89,53,33,9,95
RUS,2025,77.9,142,31,19,192
SYR,2015,85.66,59,6,13,78
SYR,2016,84.15,58,10,12,80
SYR,2017,87.95,75,8,10,93
SYR,2018,85.43,79,11,12,102
SYR,2019,85.51,73,13,8,94
SYR,2020,87.25,76,11,9,96
SYR,2021,77.74,59,13,12,84
SYR,2022,70.42,55,18,14,87
SYR,2023,71.2,55,17,15,87
SYR,2024,80.47,54,13,7,74
SYR,2025,98.6,85,1,7,93
TUR,2015,71.88,48,14,14,76
TUR,2016,69.61,54,15,11,80
TUR,2017,72.74,60,16,17,93
TUR,2018,74.41,76,15,15,106
TUR,2019,72.82,67,15,17,99
TUR,2020,77.5,73,15,11,99
TUR,2021,68.93,56,15,14,85
TUR,2022,66.19,61,16,9,86
TUR,2023,61.85,55,16,14,85
TUR,2024,66.19,60,16,16,92
TUR,2025,85.96,151,16,21,188
USA,2015,99.48,18,50,10,78
USA,2016,98.81,23,47,11,81
USA,2017,97.23,18,66,10,94
USA,2018,95.73,21,76,10,107
USA,2019,96.06,20,72,8,100
USA,2020,95.63,21,69,10,100
USA,2021,97.21,24,52,9,85
USA,2022,98.56,33,47,9,89
USA,2023,97.83,30,49,9,88
USA,2024,96.61,32,51,11,94
USA,2025,88.41,10,174,8,192
