iso3,p2_2025,p2_rank_2025,p1_2025,p3_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,region,broad_region
KEN,98.61,69,82.82,97.4,170,0,9,179,95.0,Eastern Africa,Sub-Saharan Africa
SYR,98.6,70,51.92,95.49,85,1,7,93,91.4,Western Asia,Western Asia
YEM,98.6,71,81.52,96.48,179,1,12,192,93.2,Western Asia,Western Asia
MAR,98.59,72,86.33,98.6,177,1,4,182,97.3,Northern Africa,Africa
JOR,98.55,73,84.2,97.57,182,1,8,191,95.3,Western Asia,Western Asia
BEN,98.39,74,87.0,99.36,78,0,1,79,98.7,Western Africa,Sub-Saharan Africa
BOL,98.39,75,63.25,98.69,39,1,0,40,97.5,South America,Latin America & Caribbean
IDN,98.38,76,76.42,97.59,183,2,7,192,95.3,South-eastern Asia,South-eastern Asia
FIN,98.37,77,71.8,87.99,150,22,20,192,78.1,Northern Europe,Northern Europe
EST,98.35,78,70.53,86.31,144,23,24,191,75.4,Northern Europe,Northern Europe
POL,98.34,79,66.5,85.73,143,24,25,192,74.5,Eastern Europe,Eastern Europe
TLS,98.34,80,89.54,99.46,187,0,2,189,98.9,South-eastern Asia,South-eastern Asia
UGA,98.29,81,74.34,96.89,173,0,11,184,94.0,Eastern Africa,Sub-Saharan Africa
LBN,98.24,82,82.11,97.31,182,1,9,192,94.8,Western Asia,Western Asia
BTN,98.2,83,88.25,98.61,179,0,5,184,97.3,Southern Asia,Southern Asia
SOM,98.15,84,91.9,99.26,135,0,2,137,98.5,Eastern Africa,Sub-Saharan Africa
GRD,98.12,85,78.86,98.48,98,0,3,101,97.0,Caribbean,Latin America & Caribbean
AZE,98.1,86,87.38,99.68,157,0,1,158,99.4,Western Asia,Western Asia
GNQ,98.06,87,79.6,97.44,153,3,5,161,95.0,Middle Africa,Sub-Saharan Africa
SGP,98.06,88,82.41,98.13,185,0,7,192,96.4,South-eastern Asia,South-eastern Asia
ZAF,98.05,89,81.28,97.31,182,1,9,192,94.8,Southern Africa,Sub-Saharan Africa
GRC,98.04,90,71.43,88.31,151,21,20,192,78.6,Southern Europe,Southern Europe
COL,98.03,91,90.64,98.4,186,0,6,192,96.9,South America,Latin America & Caribbean
NLD,98.03,92,70.6,88.19,149,19,22,190,78.4,Western Europe,Western Europe
VNM,98.02,93,77.44,97.55,180,1,8,189,95.2,South-eastern Asia,South-eastern Asia
ISL,98.01,94,69.31,88.26,150,18,23,191,78.5,Northern Europe,Northern Europe
SVK,97.98,95,67.88,86.97,146,22,23,191,76.4,Eastern Europe,Eastern Europe
EGY,97.97,96,78.18,95.29,173,1,16,190,91.1,Northern Africa,Africa
MNG,97.97,97,87.61,97.01,180,0,11,191,94.2,Eastern Asia,Eastern Asia
MDV,97.94,98,89.74,98.4,186,1,5,192,96.9,Southern Asia,Southern Asia
ERI,97.89,99,75.39,97.71,173,5,3,181,95.6,Eastern Africa,Sub-Saharan Africa
RWA,97.77,100,69.04,97.23,159,0,9,168,94.6,Eastern Africa,Sub-Saharan Africa
SYC,97.77,101,92.55,99.7,170,0,1,171,99.4,Eastern Africa,Sub-Saharan Africa
COM,97.7,102,82.8,99.07,162,1,2,165,98.2,Eastern Africa,Sub-Saharan Africa
