iso3,p2_2024,yes_2024,no_2024,abstain_2024,total_2024,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,p2_change,total_change,yes_pct_2024,yes_pct_2025,yes_pct_change,region,broad_region
LAO,96.44,82,1,10,93,97.66,177,0,10,187,1.21,94,88.2,94.7,6.5,South-eastern Asia,South-eastern Asia
KHM,97.36,85,0,7,92,98.68,181,0,9,190,1.32,98,92.4,95.3,2.9,South-eastern Asia,South-eastern Asia
TUN,97.31,84,1,8,93,98.67,182,1,7,190,1.36,97,90.3,95.8,5.5,Northern Africa,Africa
DJI,97.21,86,1,3,90,98.61,177,0,5,182,1.4,92,95.6,97.3,1.7,Eastern Africa,Sub-Saharan Africa
GHA,98.18,85,0,5,90,99.63,164,0,7,171,1.45,81,94.4,95.9,1.5,Western Africa,Sub-Saharan Africa
MNE,98.21,57,20,18,95,99.67,151,20,21,192,1.46,97,60.0,78.6,18.6,Southern Europe,Southern Europe
ROU,97.2,50,23,22,95,98.67,143,24,25,192,1.47,97,52.6,74.5,21.8,Eastern Europe,Eastern Europe
EGY,96.4,78,2,15,95,97.97,173,1,16,190,1.57,95,82.1,91.1,8.9,Northern Africa,Africa
BHS,97.33,87,0,5,92,98.94,182,0,3,185,1.62,93,94.6,98.4,3.8,Caribbean,Latin America & Caribbean
THA,97.4,89,0,6,95,99.03,186,0,6,192,1.62,97,93.7,96.9,3.2,South-eastern Asia,South-eastern Asia
AZE,96.42,70,0,2,72,98.1,157,0,1,158,1.68,86,97.2,99.4,2.1,Western Asia,Western Asia
BFA,95.66,77,4,0,81,97.36,163,6,1,170,1.7,89,95.1,95.9,0.8,Western Africa,Sub-Saharan Africa
SEN,97.27,80,0,8,88,98.98,179,0,6,185,1.71,97,90.9,96.8,5.8,Western Africa,Sub-Saharan Africa
TKM,98.24,60,1,0,61,99.95,125,1,1,127,1.72,66,98.4,98.4,0.1,Central Asia,Central Asia
BHR,97.82,84,1,10,95,99.55,181,0,11,192,1.73,97,88.4,94.3,5.8,Western Asia,Western Asia
SWE,98.26,55,21,19,95,100.0,149,22,21,192,1.74,97,57.9,77.6,19.7,Northern Europe,Northern Europe
ARE,97.09,80,1,13,94,98.91,178,0,13,191,1.82,97,85.1,93.2,8.1,Western Asia,Western Asia
ATG,97.02,85,1,1,87,98.89,172,0,3,175,1.87,88,97.7,98.3,0.6,Caribbean,Latin America & Caribbean
