iso3,p2_2025,region,broad_region,broad_region_avg_2025,diff_from_broad_avg,subregion_avg_2025,diff_from_subregion_avg,total_2025
UGA,98.29,Eastern Africa,Sub-Saharan Africa,96.76,1.53,95.27,3.02,184
VCT,96.07,Caribbean,Latin America & Caribbean,94.49,1.58,97.98,-1.91,16
BEN,98.39,Western Africa,Sub-Saharan Africa,96.76,1.63,98.05,0.34,79
SLV,96.18,Central America,Latin America & Caribbean,94.49,1.69,96.92,-0.73,181
ITA,98.69,Southern Europe,Southern Europe,96.95,1.74,96.95,1.74,192
KEN,98.61,Eastern Africa,Sub-Saharan Africa,96.76,1.85,95.27,3.34,179
DJI,98.61,Eastern Africa,Sub-Saharan Africa,96.76,1.86,95.27,3.35,182
BEL,98.7,Western Europe,Western Europe,96.82,1.88,96.82,1.88,192
MUS,98.64,Eastern Africa,Sub-Saharan Africa,96.76,1.89,95.27,3.38,185
AGO,98.67,Middle Africa,Sub-Saharan Africa,96.76,1.91,96.32,2.35,189
SLB,94.3,Melanesia,Oceania,92.23,2.06,94.06,0.23,175
COG,98.86,Middle Africa,Sub-Saharan Africa,96.76,2.1,96.32,2.54,164
BGD,99.29,Southern Asia,Southern Asia,97.18,2.11,97.18,2.11,191
DNK,99.67,Northern Europe,Northern Europe,97.55,2.13,97.55,2.13,192
NPL,99.31,Southern Asia,Southern Asia,97.18,2.13,97.18,2.13,190
TZA,98.9,Eastern Africa,Sub-Saharan Africa,96.76,2.14,95.27,3.63,171
GMB,98.91,Western Africa,Sub-Saharan Africa,96.76,2.16,98.05,0.86,173
SLE,98.93,Western Africa,Sub-Saharan Africa,96.76,2.17,98.05,0.87,177
LSO,98.94,Southern Africa,Sub-Saharan Africa,96.76,2.18,98.74,0.2,176
MOZ,98.98,Eastern Africa,Sub-Saharan Africa,96.76,2.23,95.27,3.72,186
SEN,98.98,Western Africa,Sub-Saharan Africa,96.76,2.23,98.05,0.93,185
CRI,96.73,Central America,Latin America & Caribbean,94.49,2.24,96.92,-0.19,191
MRT,99.0,Western Africa,Sub-Saharan Africa,96.76,2.24,98.05,0.94,187
USA,88.41,Northern America,Northern America,86.17,2.24,86.17,2.24,192
TON,94.51,Polynesia,Oceania,92.23,2.27,95.01,-0.5,174
ESP,99.34,Southern Europe,Southern Europe,96.95,2.39,96.95,2.39,192
SWE,100.0,Northern Europe,Northern Europe,97.55,2.45,97.55,2.45,192
PNG,94.7,Melanesia,Oceania,92.23,2.47,94.06,0.64,181
LKA,99.66,Southern Asia,Southern Asia,97.18,2.48,97.18,2.48,192
MCO,99.33,Western Europe,Western Europe,96.82,2.51,96.82,2.51,188
LUX,99.35,Western Europe,Western Europe,96.82,2.53,96.82,2.53,192
TCD,99.31,Middle Africa,Sub-Saharan Africa,96.76,2.56,96.32,2.99,186
BRA,97.06,South America,Latin America & Caribbean,94.49,2.57,88.59,8.47,192
SVN,99.65,Southern Europe,Southern Europe,96.95,2.7,96.95,2.7,192
MNE,99.67,Southern Europe,Southern Europe,96.95,2.72,96.95,2.72,192
GNB,99.59,Western Africa,Sub-Saharan Africa,96.76,2.83,98.05,1.53,156
GAB,99.61,Middle Africa,Sub-Saharan Africa,96.76,2.85,96.32,3.29,174
GHA,99.63,Western Africa,Sub-Saharan Africa,96.76,2.88,98.05,1.58,171
GIN,99.64,Western Africa,Sub-Saharan Africa,96.76,2.88,98.05,1.59,173
UKR,95.87,Eastern Europe,Eastern Europe,92.99,2.88,92.99,2.88,188
HTI,97.44,Caribbean,Latin America & Caribbean,94.49,2.95,97.98,-0.55,171
PRT,99.99,Southern Europe,Southern Europe,96.95,3.04,96.95,3.04,192
PER,97.68,South America,Latin America & Caribbean,94.49,3.2,88.59,9.1,190
ZMB,99.97,Eastern Africa,Sub-Saharan Africa,96.76,3.21,95.27,4.7,160
SWZ,99.99,Southern Africa,Sub-Saharan Africa,96.76,3.23,98.74,1.25,84
BWA,100.0,Southern Africa,Sub-Saharan Africa,96.76,3.24,98.74,1.26,144
CZE,96.31,Eastern Europe,Eastern Europe,92.99,3.32,92.99,3.32,192
MDA,96.51,Eastern Europe,Eastern Europe,92.99,3.51,92.99,3.51,191
COL,98.03,South America,Latin America & Caribbean,94.49,3.54,88.59,9.44,192
GRD,98.12,Caribbean,Latin America & Caribbean,94.49,3.64,97.98,0.14,101
VUT,96.12,Melanesia,Oceania,92.23,3.88,94.06,2.06,182
BOL,98.39,South America,Latin America & Caribbean,94.49,3.9,88.59,9.8,40
KIR,96.16,Micronesia,Oceania,92.23,3.93,90.6,5.57,70
CHN,97.15,Eastern Asia,Eastern Asia,93.02,4.13,93.02,4.13,192
DOM,98.64,Caribbean,Latin America & Caribbean,94.49,4.16,97.98,0.66,189
TTO,98.65,Caribbean,Latin America & Caribbean,94.49,4.16,97.98,0.67,190
GUY,98.67,South America,Latin America & Caribbean,94.49,4.18,88.59,10.08,192
MEX,98.67,Central America,Latin America & Caribbean,94.49,4.18,96.92,1.75,192
BGR,97.29,Eastern Europe,Eastern Europe,92.99,4.3,92.99,4.3,191
LCA,98.85,Caribbean,Latin America & Caribbean,94.49,4.36,97.98,0.86,168
HND,98.88,Central America,Latin America & Caribbean,94.49,4.39,96.92,1.96,173
ATG,98.89,Caribbean,Latin America & Caribbean,94.49,4.4,97.98,0.9,175
KNA,98.92,Caribbean,Latin America & Caribbean,94.49,4.44,97.98,0.94,181
BHS,98.94,Caribbean,Latin America & Caribbean,94.49,4.46,97.98,0.96,185
BLZ,99.25,Central America,Latin America & Caribbean,94.49,4.76,96.92,2.33,178
CHL,99.29,South America,Latin America & Caribbean,94.49,4.81,88.59,10.71,192
GTM,99.29,Central America,Latin America & Caribbean,94.49,4.81,96.92,2.38,192
TUV,97.18,Polynesia,Oceania,92.23,4.94,95.01,2.17,142
MNG,97.97,Eastern Asia,Eastern Asia,93.02,4.95,93.02,4.95,191
SVK,97.98,Eastern Europe,Eastern Europe,92.99,4.99,92.99,4.99,191
JAM,99.6,Caribbean,Latin America & Caribbean,94.49,5.11,97.98,1.62,188
SUR,99.61,South America,Latin America & Caribbean,94.49,5.12,88.59,11.02,191
POL,98.34,Eastern Europe,Eastern Europe,92.99,5.34,92.99,5.34,192
BRB,99.92,Caribbean,Latin America & Caribbean,94.49,5.43,97.98,1.93,145
URY,99.92,South America,Latin America & Caribbean,94.49,5.43,88.59,11.33,190
ROU,98.67,Eastern Europe,Eastern Europe,92.99,5.68,92.99,5.68,192
SAU,96.96,Western Asia,Western Asia,89.81,7.15,89.81,7.15,190
AZE,98.1,Western Asia,Western Asia,89.81,8.29,89.81,8.29,158
LBN,98.24,Western Asia,Western Asia,89.81,8.43,89.81,8.43,192
JOR,98.55,Western Asia,Western Asia,89.81,8.73,89.81,8.73,191
SYR,98.6,Western Asia,Western Asia,89.81,8.79,89.81,8.79,93
YEM,98.6,Western Asia,Western Asia,89.81,8.79,89.81,8.79,192
IRQ,98.88,Western Asia,Western Asia,89.81,9.07,89.81,9.07,189
QAT,98.89,Western Asia,Western Asia,89.81,9.08,89.81,9.08,192
ARE,98.91,Western Asia,Western Asia,89.81,9.1,89.81,9.1,191
OMN,98.94,Western Asia,Western Asia,89.81,9.12,89.81,9.12,192
BHR,99.55,Western Asia,Western Asia,89.81,9.74,89.81,9.74,192
KWT,99.57,Western Asia,Western Asia,89.81,9.76,89.81,9.76,192
