year,mean_p2,median_p2,std_p2,min_p2,p10,p25,p75,p90,max_p2,countries_ge_95,countries_lt_80,num_countries
2024,90.68,94.89,12.07,0.0,79.21,89.22,96.99,98.18,100.0,94,21,191
2025,95.31,97.97,10.03,0.0,90.05,95.5,98.89,99.57,100.0,148,7,191
