Country,Closest_P5,Closest_Sim,Sim_USA,Sim_GBR,Sim_FRA,Sim_RUS,Sim_CHN
JPN,GBR,0.8706,-0.6598,0.8706,0.8698,0.5045,0.7077
KAZ,CHN,0.9117,-0.8977,0.5674,0.5938,0.6743,0.9117
KEN,CHN,0.878,-0.8707,0.5497,0.5706,0.6473,0.878
KGZ,CHN,0.9169,-0.8916,0.536,0.5624,0.6782,0.9169
KHM,CHN,0.9129,-0.9041,0.5611,0.5872,0.6668,0.9129
KIR,CHN,0.4666,-0.4265,0.244,0.2549,0.1685,0.4666
KNA,CHN,0.8807,-0.8841,0.5487,0.5749,0.6325,0.8807
KOR,GBR,0.9028,-0.5876,0.9028,0.8962,0.5413,0.6512
KWT,CHN,0.8847,-0.8877,0.5498,0.5758,0.6725,0.8847
LAO,CHN,0.906,-0.8977,0.5502,0.5823,0.6572,0.906
LBN,CHN,0.8966,-0.9101,0.558,0.584,0.6576,0.8966
LBR,CHN,0.8038,-0.7875,0.5145,0.5421,0.5557,0.8038
LBY,CHN,0.8825,-0.8861,0.5303,0.5566,0.6552,0.8825
LCA,CHN,0.8499,-0.8551,0.5046,0.5433,0.6096,0.8499
LIE,FRA,0.8421,-0.697,0.8081,0.8421,0.4696,0.6994
LKA,CHN,0.916,-0.9017,0.5539,0.5799,0.6875,0.916
LSO,CHN,0.8806,-0.8506,0.5455,0.5664,0.6433,0.8806
LTU,FRA,0.9227,-0.5379,0.9055,0.9227,0.5016,0.5943
LUX,FRA,0.9474,-0.579,0.907,0.9474,0.5275,0.6474
LVA,FRA,0.929,-0.5346,0.9059,0.929,0.5103,0.6024
MAR,CHN,0.8637,-0.862,0.5658,0.5921,0.6325,0.8637
MCO,FRA,0.9465,-0.5722,0.9114,0.9465,0.5252,0.6414
MDA,FRA,0.8496,-0.6351,0.8211,0.8496,0.4328,0.659
MDG,FRA,0.2169,-0.1303,0.2157,0.2169,0.1344,0.1608
MDV,CHN,0.8981,-0.8787,0.5743,0.6001,0.6394,0.8981
MEX,CHN,0.8625,-0.871,0.6117,0.6321,0.5989,0.8625
