Country,Total_2024,Total_2025,Vote_Change,Vote_Pct_Change,P1_Change
POL,95,192,97,102.1,-2.6137999999999977
PRK,86,181,95,110.5,-7.665700000000001
PRT,94,192,98,104.3,-1.194100000000006
PRY,94,191,97,103.2,-12.657400000000003
QAT,95,192,97,102.1,-3.6998999999999995
ROU,95,192,97,102.1,3.7223999999999933
RUS,95,192,97,102.1,-2.0050000000000026
RWA,85,168,83,97.6,-1.5518
SAU,94,190,96,102.1,-0.4136999999999915
SDN,93,189,96,103.2,-1.6059000000000054
SEN,88,185,97,110.2,-9.44720000000001
SGP,95,192,97,102.1,-2.1602999999999923
SLB,72,175,103,143.1,-0.13389999999999702
SLE,89,177,88,98.9,-6.810000000000002
SLV,93,181,88,94.6,-5.4498999999999995
SMR,95,192,97,102.1,-1.6234000000000037
SOM,69,137,68,98.6,6.8429
SRB,82,171,89,108.5,2.6007999999999925
SSD,19,56,37,194.7,39.8609
STP,35,12,-23,-65.7,94.1424
SUR,92,191,99,107.6,3.9639999999999986
SVK,95,191,96,101.1,2.4579999999999984
SVN,95,192,97,102.1,3.500700000000009
SWE,95,192,97,102.1,3.700800000000001
SWZ,59,84,25,42.4,-1.857299999999995
SYC,84,171,87,103.6,-2.0279000000000025
SYR,74,93,19,25.7,-17.975500000000004
TCD,89,186,97,109.0,3.8108000000000004
TGO,90,190,100,111.1,-0.847999999999999
THA,95,192,97,102.1,-3.3666999999999945
TJK,82,183,101,123.2,-4.13600000000001
TKM,61,127,66,108.2,-7.528999999999996
TLS,90,189,99,110.0,-2.7630000000000052
TON,79,174,95,120.3,7.595399999999998
TTO,95,190,95,100.0,-5.790900000000008
TUN,93,190,97,104.3,-5.575400000000002
TUR,92,188,96,104.3,2.336199999999991
TUV,65,142,77,118.5,-1.9138999999999982
TZA,84,171,87,103.6,-3.682299999999998
UGA,87,184,97,111.5,-4.5882000000000005
UKR,94,188,94,100.0,5.4467
URY,95,190,95,100.0,-7.676000000000002
USA,94,192,98,104.3,-23.867999999999995
UZB,84,170,86,102.4,0.6338000000000079
VCT,80,16,-64,-80.0,-22.66669999999999
VNM,92,189,97,105.4,-2.0475999999999885
VUT,88,182,94,106.8,-2.5871000000000066
WSM,65,140,75,115.4,-13.016999999999996
YEM,95,192,97,102.1,-9.248000000000005
ZAF,95,192,97,102.1,-3.5435000000000088
ZMB,67,160,93,138.8,13.156000000000006
ZWE,91,182,91,100.0,-0.3684000000000083
