topic_l3,resolution_count,pct_of_192
DEVELOPMENT,38,19.79
INTERNATIONAL SECURITY,23,11.98
POLITICAL CONDITIONS,21,10.94
ENVIRONMENT,17,8.85
INTERNATIONAL INSTRUMENTS,15,7.81
COOPERATION BETWEEN ORGANIZATIONS,13,6.77
NUCLEAR DISARMAMENT,12,6.25
HUMAN RIGHTS,11,5.73
ECONOMIC CONDITIONS,10,5.21
BASIC NEEDS,9,4.69
INTERNATIONAL COOPERATION,9,4.69
INTERNATIONAL LAW,8,4.17
NATURAL RESOURCES,8,4.17
PALESTINE QUESTION,8,4.17
DISARMAMENT,7,3.65
DEMOCRACY,5,2.60
DEVELOPMENT FINANCE,5,2.60
HUMANITARIAN ASSISTANCE,5,2.60
OUTER SPACE,5,2.60
PERSONS (INTERNATIONAL LAW),5,2.60
CIVIL SOCIETY,4,2.08
DECOLONIZATION,4,2.08
DIPLOMATIC RELATIONS,4,2.08
FOREIGN RELATIONS,4,2.08
PEACEBUILDING,4,2.08
POVERTY,4,2.08
PROTECTION OF CIVILIANS IN PEACEKEEPING OPERATIONS,4,2.08
SOCIAL CONDITIONS,4,2.08
SOCIAL DEVELOPMENT,4,2.08
SUSTAINABLE DEVELOPMENT,4,2.08
AGRICULTURAL DEVELOPMENT,3,1.56
ANTI-DISCRIMINATION MEASURES,3,1.56
ARTIFICIAL INTELLIGENCE,3,1.56
COORDINATION WITHIN UN SYSTEM,3,1.56
DEVELOPMENT ASSISTANCE,3,1.56
DIPLOMACY,3,1.56
ENERGY RESOURCES,3,1.56
GOVERNMENT POLICY,3,1.56
INTERNATIONAL CRIMES,3,1.56
INTERNATIONAL RELATIONS,3,1.56
INTERNATIONAL TRADE,3,1.56
PALESTINE REFUGEES,3,1.56
POLITICAL PARTICIPATION,3,1.56
ADVISORY OPINIONS,2,1.04
ARMS RACE,2,1.04
COASTAL ZONE MANAGEMENT,2,1.04
COLONIAL COUNTRIES,2,1.04
COMMISSIONS OF INQUIRY,2,1.04
CONFIDENCE-BUILDING MEASURES,2,1.04
CONFLICT MANAGEMENT,2,1.04
COUNTERMEASURES (INTERNATIONAL LAW),2,1.04
CRIMINAL LAW,2,1.04
DESERTIFICATION,2,1.04
DISASTER PREVENTION,2,1.04
DISASTER RELIEF,2,1.04
DISEASE CONTROL,2,1.04
DISPUTE SETTLEMENT,2,1.04
DISPUTES,2,1.04
ECONOMIC DEVELOPMENT,2,1.04
EDUCATIONAL POLICY,2,1.04
ENVIRONMENTAL EMERGENCIES,2,1.04
ETHICS,2,1.04
FAMILY,2,1.04
FAUNA,2,1.04
HEALTH,2,1.04
LANDMINES,2,1.04
LAW OF THE SEA,2,1.04
MARINE RESOURCES,2,1.04
NON-SELF-GOVERNING TERRITORIES,2,1.04
NUCLEAR NON-PROLIFERATION,2,1.04
NUCLEAR SCIENCE,2,1.04
NUCLEAR-WEAPON-FREE ZONES,2,1.04
PEACE AGREEMENTS,2,1.04
PEACEKEEPING OPERATIONS,2,1.04
PUBLIC FINANCE,2,1.04
RACIAL DISCRIMINATION,2,1.04
RURAL DEVELOPMENT,2,1.04
SCIENCE AND TECHNOLOGY,2,1.04
SELF-DETERMINATION OF PEOPLES,2,1.04
SUSTAINABLE TRANSPORT,2,1.04
ABANDONED CHILDREN,1,0.52
ADMINISTRATION OF JUSTICE,1,0.52
AFFORESTATION,1,0.52
AFGHANISTAN SITUATION,1,0.52
AFRICAN REFUGEES,1,0.52
AGRICULTURAL INNOVATIONS,1,0.52
AGRICULTURAL POLICY,1,0.52
ALIEN PROPERTY,1,0.52
AMMUNITION,1,0.52
ANNEXATION OF TERRITORY,1,0.52
ARMAMENTS,1,0.52
ARMS TRANSFERS,1,0.52
ASSOCIATIONS,1,0.52
BALANCE OF PAYMENTS,1,0.52
BASIC SERVICES,1,0.52
BURUNDI SITUATION,1,0.52
CAREGIVERS,1,0.52
CHEMICAL WEAPONS,1,0.52
CHILD NEEDS,1,0.52
CHILD REFUGEES,1,0.52
CIVILIAN PERSONS,1,0.52
CLUSTER MUNITIONS,1,0.52
COASTAL EROSION,1,0.52
COLONIALISM,1,0.52
COMMAND AND CONTROL SYSTEMS,1,0.52
COMMERCIAL LAW,1,0.52
COMMODITIES,1,0.52
COMMUNICABLE DISEASES,1,0.52
COMMUNICATION TECHNOLOGY,1,0.52
COMMUNITY PARTICIPATION,1,0.52
COMPUTER NETWORKS,1,0.52
CONSUMERS,1,0.52
CONVENTIONAL DISARMAMENT,1,0.52
COOPERATIVE MOVEMENTS,1,0.52
COUNTER-TERRORISM,1,0.52
COVID-19,1,0.52
CRIME PREVENTION,1,0.52
CROP MANAGEMENT,1,0.52
CUBA SITUATION,1,0.52
CULTURAL COOPERATION,1,0.52
CULTURAL DEVELOPMENT,1,0.52
CULTURAL DIVERSITY,1,0.52
CYBERSPACE,1,0.52
DEBT MANAGEMENT,1,0.52
DECLARATIONS,1,0.52
DECONTAMINATION,1,0.52
DEVELOPMENT ASPECTS,1,0.52
DIPLOMATS' SECURITY,1,0.52
DISARMAMENT-DEVELOPMENT LINK,1,0.52
DISCRIMINATION,1,0.52
DISCRIMINATORY TRADE PRACTICES,1,0.52
DISEASE PREVENTION,1,0.52
DISEASES,1,0.52
DISPLACED PERSONS,1,0.52
DRINKING WATER,1,0.52
ECONOMIC ASPECTS,1,0.52
ECONOMIC COOPERATION AMONG DEVELOPING COUNTRIES,1,0.52
ECONOMICS,1,0.52
EDUCATION,1,0.52
EMPLOYMENT POLICY,1,0.52
ENVIRONMENTAL CLEANUP,1,0.52
ENVIRONMENTAL FINANCING,1,0.52
ENVIRONMENTAL LAW,1,0.52
ETHNIC AND RACIAL GROUPS,1,0.52
EUROPEAN SECURITY AND COOPERATION,1,0.52
EXCLUSIVE ECONOMIC ZONE,1,0.52
EXPORT RESTRICTIONS,1,0.52
FACT-FINDING MISSIONS,1,0.52
FAMILY LAW,1,0.52
FINANCE,1,0.52
FINANCIAL FLOWS,1,0.52
FINANCIAL INCLUSION,1,0.52
FISCAL POLICY,1,0.52
FLORA,1,0.52
FOOD SECURITY,1,0.52
FOREIGN POLICY,1,0.52
FOREIGN TRADE,1,0.52
FOREST CONSERVATION,1,0.52
FRANCOPHONIE,1,0.52
FREEDOM OF EXPRESSION,1,0.52
FRIENDLY RELATIONS AMONG STATES,1,0.52
GENDER DISCRIMINATION,1,0.52
GEOGRAPHY,1,0.52
GEORGIAN REFUGEES,1,0.52
GIRLS,1,0.52
HEALTH POLICY,1,0.52
HEALTH PROGRAMMES,1,0.52
HOMELESS PERSONS,1,0.52
HUMANITARIAN INTERVENTION,1,0.52
INFORMATION DISSEMINATION,1,0.52
INFORMATION EXCHANGE,1,0.52
INFORMATION TECHNOLOGY,1,0.52
INLAND TRANSPORT,1,0.52
INTERNATIONAL CRIMINAL COURTS,1,0.52
INTERNATIONAL ECONOMIC LAW,1,0.52
INTERNATIONAL FINANCE,1,0.52
INTERNATIONAL HUMANITARIAN LAW,1,0.52
INTERNATIONAL MONETARY SYSTEM,1,0.52
INVESTMENT POLICY,1,0.52
LAND,1,0.52
LAND-BASED RESOURCES,1,0.52
LANDLOCKED DEVELOPING COUNTRIES,1,0.52
LAW,1,0.52
LEGAL STATUS,1,0.52
LEGISLATIVE BODIES,1,0.52
LIVING CONDITIONS,1,0.52
LIVING MARINE RESOURCES,1,0.52
MARINE POLLUTION,1,0.52
MENTAL STRESS,1,0.52
MIGRANT WORKERS,1,0.52
MIGRANT WORKERS' FAMILIES,1,0.52
MILITARY APPLICATIONS,1,0.52
MOUNTAIN AREAS,1,0.52
MULTILATERALISM,1,0.52
NAZISM,1,0.52
NEW TECHNOLOGIES,1,0.52
NON-COMMUNICABLE DISEASES,1,0.52
NON-NUCLEAR-WEAPON STATES,1,0.52
NUCLEAR ACCIDENTS,1,0.52
NUCLEAR MATERIALS,1,0.52
NUCLEAR WEAPONS,1,0.52
NUTRITION,1,0.52
PEACE,1,0.52
PEACE MOVEMENTS,1,0.52
PERSONS WITH DISABILITIES,1,0.52
POLITICAL REPRESENTATION,1,0.52
POLITICAL VIOLENCE,1,0.52
POVERTY MITIGATION,1,0.52
PUBLIC DEBT,1,0.52
RADIOACTIVE CONTAMINATION,1,0.52
RECOMMENDATIONS,1,0.52
REFUGEES,1,0.52
REGIONAL ORGANIZATIONS,1,0.52
REGIONAL SECURITY,1,0.52
RELIGIOUS FREEDOM,1,0.52
RIGHT TO DRINKING WATER,1,0.52
RIGHT TO FOOD,1,0.52
RIGHT TO HEALTH,1,0.52
RIGHTS OF THE CHILD,1,0.52
RURAL AREAS,1,0.52
RURAL WOMEN,1,0.52
SCIENCE,1,0.52
SELF-RULE,1,0.52
SETTLEMENT PLANNING,1,0.52
SMALL STATES,1,0.52
SOCIAL INTEGRATION,1,0.52
SOCIAL POLICY,1,0.52
SOVEREIGNTY,1,0.52
SPACE LAW,1,0.52
SPACE WEAPONS,1,0.52
SPECIAL MISSIONS,1,0.52
STATISTICS,1,0.52
TAXATION,1,0.52
TECHNOLOGICAL CHANGE,1,0.52
TRADE POLICY,1,0.52
TRADE RESTRICTIONS,1,0.52
TRAFFICKING IN PERSONS,1,0.52
TRANSIT,1,0.52
TRANSPARENCY IN ARMAMENTS,1,0.52
TREATY COMPLIANCE,1,0.52
TREATY-MONITORING BODIES,1,0.52
WATER,1,0.52
WILDLIFE,1,0.52
WOMEN,1,0.52
WOMEN MIGRANT WORKERS,1,0.52
WOMEN'S RIGHTS,1,0.52
WORLD WAR (1939-1945),1,0.52
YOUNG WORKERS,1,0.52
ZONES OF PEACE,1,0.52
