topic_l2,resolution_count,pct_of_192
"POLITICAL CONDITIONS, INSTITUTIONS, MOVEMENTS",53,27.60
INTERNATIONAL RELATIONS,48,25.00
MAINTENANCE OF PEACE AND SECURITY,47,24.48
DEVELOPMENT,44,22.92
INTERNATIONAL LAW,44,22.92
DISARMAMENT AND MILITARY QUESTIONS,42,21.88
ENVIRONMENT,25,13.02
SOCIAL DEVELOPMENT,24,12.50
POLITICAL EVENTS AND ISSUES,21,10.94
HUMAN RIGHTS,19,9.90
WELFARE AND SOCIAL SERVICES,14,7.29
"DECOLONIZATION, TRUSTEESHIP AND APARTHIED",11,5.73
DEVELOPMENT FINANCE,11,5.73
ECONOMIC CONDITIONS,11,5.73
RESOURCES (GENERAL),9,4.69
DISCRIMINATION,8,4.17
GENERAL AND NATIONAL LAW,8,4.17
PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,8,4.17
MARINE RESOURCES,7,3.65
AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,6,3.12
COMPUTER SCIENCE AND TECHNOLOGY,6,3.12
DEVELOPMENT AND TRANSFER OF TECHNOLOGY AND PROMOTION OF SCIENCE,6,3.12
"DISASTER PREVENTION, PREPAREDNESS AND RELIEF",5,2.60
GENERAL INTERNATIONAL TRADE AND TRADE POLICY,5,2.60
"LAND, PLANT AND SOIL RESOURCES",5,2.60
SPACE SCIENCES,5,2.60
SPECIAL HUMANITARIAN OPERATIONS,5,2.60
DISEASE PREVENTION AND CONTROL,4,2.08
DISEASES AND CARRIERS OF DISEASES,4,2.08
PUBLIC FINANCE,4,2.08
WILDLIFE,4,2.08
WOMEN'S ADVANCEMENT,4,2.08
BANKING AND INVESTMENT,3,1.56
COMPREHENSIVE HEALTH SERVICES,3,1.56
CULTURAL DEVELOPMENT,3,1.56
EDUCATIONAL POLICY AND PLANNING,3,1.56
ENERGY RESOURCES,3,1.56
NUCLEAR SCIENCE,3,1.56
PHILOSOPHY AND RELIGION,3,1.56
POLLUTION,3,1.56
TRADE IN MANUFACTURES; BARRIERS TO TRADE,3,1.56
TRANSPORT POLICY AND PLANNING,3,1.56
COMMUNICATION AND MASS MEDIA,2,1.04
CONSUMERS AND COOPERATIVES,2,1.04
FOOD AND NUTRITION,2,1.04
LAW OF THE SEA,2,1.04
SPECIAL CATEGORIES OF WORKERS,2,1.04
WATER,2,1.04
"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",1,0.52
COMMODITIES,1,0.52
CRIME AND CRIMINAL JUSTICE,1,0.52
CROP MANAGEMENT,1,0.52
ECONOMIC THEORY,1,0.52
EMPLOYMENT PROMOTION AND PLANNING,1,0.52
FORESTRY,1,0.52
GEOGRAPHY,1,0.52
HOUSING,1,0.52
LAND FORMS AND ECOSYSTEMS,1,0.52
LAND TRANSPORT,1,0.52
LANGUAGE,1,0.52
LAW OF WAR,1,0.52
"LEISURE, RECREATION AND SPORTS",1,0.52
MINERAL RESOURCES,1,0.52
MONETARY ISSUES,1,0.52
PERSONS WITH DISABILITIES,1,0.52
PSYCHOLOGY,1,0.52
RECOMMENDATIONS,1,0.52
SETTLEMENT PLANNING,1,0.52
SPECIAL ECONOMIC AREAS,1,0.52
STATISTICS,1,0.52
TAXATION,1,0.52
TELECOMMUNICATIONS,1,0.52
TRADE IN COMMODITIES,1,0.52
TRADE RELATED FINANCE,1,0.52
