Country,P1_2024,P1_2025,Change
KIR,72.5824,73.4627,0.8802999999999912
GNQ,78.2674,79.207,0.9395999999999987
BEL,76.9512,77.8972,0.945999999999998
KOR,74.759,75.7132,0.9542000000000002
ALB,69.1049,70.0803,0.9753999999999934
NOR,77.3244,78.3667,1.0422999999999973
HRV,70.1232,71.1843,1.0610999999999962
JAM,93.1251,94.2249,1.0998000000000019
NAM,82.8702,84.0979,1.2276999999999987
BTN,88.0631,89.2959,1.2327999999999975
ESP,71.429,72.6654,1.2364000000000033
GAB,81.1159,82.4325,1.3166000000000082
COL,88.3705,89.9242,1.553699999999992
COG,73.9464,75.6592,1.7128000000000014
ERI,75.413,77.1626,1.749600000000001
ECU,78.9083,80.8557,1.9474000000000018
HTI,84.3915,86.3574,1.9659000000000049
GEO,66.1107,68.1362,2.025500000000008
NER,77.496,79.5456,2.049599999999998
NLD,69.2956,71.578,2.2824000000000098
TUR,73.4484,75.7846,2.336199999999991
FIN,70.6704,73.0904,2.4200000000000017
SVK,70.0755,72.5335,2.4579999999999984
SRB,73.2659,75.8667,2.6007999999999925
DEU,66.9478,69.7032,2.7553999999999945
SVN,69.1488,72.6495,3.500700000000009
SWE,69.148,72.8488,3.700800000000001
ROU,68.4505,72.1729,3.7223999999999933
TCD,87.8819,91.6927,3.8108000000000004
SUR,90.7706,94.7346,3.9639999999999986
HUN,65.2877,69.3418,4.054100000000005
MHL,62.5361,67.2844,4.7483000000000075
COM,68.1255,72.9278,4.8023000000000025
BGR,67.1442,72.2116,5.067400000000006
UKR,62.7155,68.1622,5.4467
MLI,56.6191,62.4224,5.8033
BEN,81.0769,87.1412,6.064300000000003
AUS,62.5093,68.8077,6.298399999999994
MKD,45.9561,52.3831,6.427
BIH,65.6028,72.4266,6.823799999999991
SOM,86.9873,93.8302,6.8429
CAF,46.0946,53.5315,7.436900000000001
HND,77.0825,84.6417,7.559200000000004
TON,22.9856,30.581,7.595399999999998
MMR,90.0099,98.25,8.240099999999998
NRU,60.5841,68.8677,8.2836
BRA,64.8973,74.2153,9.317999999999998
LBR,26.7786,37.9184,11.139799999999997
ZMB,73.5316,86.6876,13.156000000000006
PNG,45.2932,61.315,16.0218
SSD,0.0,39.8609,39.8609
STP,5.8576,100.0,94.1424
