iso3,sim_change_vs_CHN,sim_change_vs_ISR,sim_change_vs_RUS,sim_change_vs_USA,p1_change,region,broad_region
BHS,0.1955,-0.1559,0.4062,-0.6352,-3.03,Caribbean,Latin America & Caribbean
JAM,0.1978,-0.1133,0.3872,-0.6339,-1.29,Caribbean,Latin America & Caribbean
TTO,0.1436,-0.1079,0.3785,-0.6305,-6.41,Caribbean,Latin America & Caribbean
ARM,0.1767,-0.1444,0.2883,-0.6303,-3.02,Western Asia,Western Asia
THA,0.173,-0.1319,0.3723,-0.6297,-3.59,South-eastern Asia,South-eastern Asia
CIV,0.2254,-0.1551,0.3968,-0.6288,-8.07,Western Africa,Sub-Saharan Africa
PER,0.1771,-0.1494,0.354,-0.6267,-1.24,South America,Latin America & Caribbean
VUT,0.2418,-0.1728,0.4145,-0.622,-3.67,Melanesia,Oceania
COL,0.2197,-0.1409,0.3968,-0.6204,2.27,South America,Latin America & Caribbean
TCD,0.1931,-0.1521,0.3644,-0.6201,4.38,Middle Africa,Sub-Saharan Africa
PHL,0.1905,-0.1407,0.3733,-0.6183,0.38,South-eastern Asia,South-eastern Asia
CMR,0.2232,-0.157,0.4123,-0.6153,-20.71,Middle Africa,Sub-Saharan Africa
MWI,0.3403,-0.1898,0.4322,-0.6151,-2.14,Eastern Africa,Sub-Saharan Africa
CPV,0.296,-0.1477,0.3594,-0.6147,-0.23,Western Africa,Sub-Saharan Africa
HTI,0.2044,-0.1654,0.3913,-0.6108,-0.03,Caribbean,Latin America & Caribbean
QAT,0.1859,-0.0993,0.4236,-0.6091,-7.07,Western Asia,Western Asia
MUS,0.1996,-0.1552,0.3978,-0.6077,-3.59,Eastern Africa,Sub-Saharan Africa
TLS,0.1748,-0.1309,0.3431,-0.606,-3.29,South-eastern Asia,South-eastern Asia
MNG,0.1823,-0.1259,0.3642,-0.6026,-3.79,Eastern Asia,Eastern Asia
NPL,0.211,-0.1398,0.3506,-0.6023,-3.06,Southern Asia,Southern Asia
ATG,0.2298,-0.1934,0.3877,-0.6002,-2.17,Caribbean,Latin America & Caribbean
HND,0.1613,-0.1737,0.3386,-0.5995,7.88,Central America,Latin America & Caribbean
