partner,sim_2024,sim_2025,sim_change,is_key_partner,region
HTI,-0.2041573766762269,-0.8149621910610471,-0.6108,False,Caribbean
QAT,-0.2925227357505681,-0.9016528062876954,-0.6091,False,Western Asia
MUS,-0.2824311336291398,-0.8901636390843138,-0.6077,False,Eastern Africa
TLS,-0.2619233228885849,-0.8679529053982725,-0.606,False,South-eastern Asia
MNG,-0.3095457452319639,-0.9121429881975068,-0.6026,False,Eastern Asia
NPL,-0.2963866580843977,-0.8986604919535637,-0.6023,False,Southern Asia
ATG,-0.2485598756195421,-0.8487969539050798,-0.6002,False,Caribbean
HND,-0.2429735470752182,-0.8424669960219133,-0.5995,False,Central America
MDV,-0.2792397189348929,-0.8787349290678163,-0.5995,False,Southern Asia
ZMB,-0.2279672571030654,-0.8269545815956363,-0.599,False,Eastern Africa
LCA,-0.2588952058267115,-0.8551363835781408,-0.5962,False,Caribbean
TZA,-0.2734238116636464,-0.8688100585711453,-0.5954,False,Eastern Africa
BLZ,-0.2619233228885849,-0.8557668821131935,-0.5938,False,Central America
KWT,-0.2959046138327883,-0.887701217661447,-0.5918,False,Western Asia
BHR,-0.3095457452319639,-0.8986604919535637,-0.5891,False,Western Asia
COM,-0.2262848189276258,-0.814172443121175,-0.5879,False,Eastern Africa
KHM,-0.3214513508178086,-0.904140129099622,-0.5827,False,South-eastern Asia
BGD,-0.3095457452319639,-0.8913043478260884,-0.5818,False,Southern Asia
SLV,-0.2706631697279256,-0.8481211369348121,-0.5775,False,Central America
BRA,-0.32335909071658,-0.8991858993220234,-0.5758,True,South America
PAK,-0.2697856331168814,-0.8417791471075861,-0.572,False,Southern Asia
ZAF,-0.3059670614315681,-0.8773874532778532,-0.5714,True,Southern Africa
RWA,-0.2826325680272091,-0.8535822630491904,-0.5709,False,Eastern Africa
BRN,-0.3276254640406362,-0.8973104063836513,-0.5697,False,South-eastern Asia
IND,-0.288625444408612,-0.8582786383559495,-0.5697,True,Southern Asia
SLE,-0.2959046138327883,-0.8631549347115569,-0.5673,False,Western Africa
JOR,-0.3276254640406362,-0.8937362878109808,-0.5661,False,Western Asia
VNM,-0.3493975903614457,-0.9150994033917386,-0.5657,False,South-eastern Asia
BRB,-0.2326997657790774,-0.7958852199647386,-0.5632,False,Caribbean
COD,-0.1585687689262444,-0.7176990826552212,-0.5591,False,Middle Africa
KAZ,-0.3414888088568143,-0.8976757017088441,-0.5562,False,Central Asia
YEM,-0.3177350253327822,-0.8736791272494191,-0.5559,False,Western Asia
BWA,-0.2041573766762269,-0.7593411149124423,-0.5552,False,Southern Africa
MRT,-0.3272787379567187,-0.8816263373932997,-0.5543,False,Western Africa
TUN,-0.3452625619894981,-0.8991858993220234,-0.5539,False,Northern Africa
GAB,-0.306800433546135,-0.860039297665412,-0.5532,False,Middle Africa
FJI,-0.1372053249871129,-0.68837822485072,-0.5512,False,Melanesia
MYS,-0.3412709531352105,-0.8919049220078462,-0.5506,False,South-eastern Asia
LAO,-0.3493975903614457,-0.8976757017088441,-0.5483,False,South-eastern Asia
GHA,-0.3095457452319639,-0.8577395444964624,-0.5482,False,Western Africa
KEN,-0.32335909071658,-0.870737700586407,-0.5474,False,Eastern Africa
BTN,-0.32335909071658,-0.8650958435671753,-0.5417,False,Southern Asia
DJI,-0.3295029892339964,-0.8699696615326453,-0.5405,False,Eastern Africa
SEN,-0.3558885029135167,-0.8926466666107159,-0.5368,False,Western Africa
UGA,-0.3502463536065394,-0.8855745434053636,-0.5353,False,Eastern Africa
SYC,-0.2909144337393055,-0.8255045732832171,-0.5346,False,Eastern Africa
IRQ,-0.355085536599346,-0.887701217661447,-0.5326,False,Western Asia
LKA,-0.3690737731611876,-0.9016528062876954,-0.5326,False,Southern Asia
COG,-0.2840372139975478,-0.8152247293744217,-0.5312,False,Middle Africa
AGO,-0.3592878785739777,-0.8896249683263511,-0.5303,False,Middle Africa
MAR,-0.3353353533357125,-0.8619968637199427,-0.5267,False,Northern Africa
ARE,-0.3658808666323009,-0.8896249683263511,-0.5237,True,Western Asia
GMB,-0.315157303217581,-0.8379188724993863,-0.5228,False,Western Africa
GIN,-0.3436164855716713,-0.8640004959449892,-0.5204,False,Western Africa
GNQ,-0.3107540676226043,-0.8263362881373008,-0.5156,False,Middle Africa
ETH,-0.3728506522686086,-0.887280722626915,-0.5144,False,Eastern Africa
SAU,-0.3581338785186472,-0.8681879507477303,-0.5101,True,Western Asia
EGY,-0.3927045549390529,-0.8997924409449165,-0.5071,True,Northern Africa
LSO,-0.3436164855716713,-0.8506266701244073,-0.507,False,Southern Africa
IDN,-0.3832404038122429,-0.8888921530165942,-0.5057,True,South-eastern Asia
MOZ,-0.3752639502927208,-0.8804995758690564,-0.5052,False,Eastern Africa
NAM,-0.3515216074349942,-0.8540739687201391,-0.5026,False,Southern Africa
LBN,-0.4121287811306829,-0.9100851223441084,-0.498,False,Western Asia
KNA,-0.3880752628531665,-0.8840993474050693,-0.496,False,Caribbean
LBY,-0.3927045549390529,-0.8860723579948099,-0.4934,False,Northern Africa
OMN,-0.402468953295531,-0.887701217661447,-0.4852,False,Western Asia
TJK,-0.4038252524910564,-0.8855745434053636,-0.4817,False,Central Asia
KGZ,-0.4127903453219929,-0.8916451401205634,-0.4789,False,Central Asia
ERI,-0.4119737464108566,-0.8785737264837877,-0.4666,False,Eastern Africa
ZWE,-0.4390570399587611,-0.9046625460637994,-0.4656,False,Eastern Africa
DZA,-0.4363716506089584,-0.9011533136409104,-0.4648,False,Northern Africa
UZB,-0.4154971962618501,-0.8688100585711453,-0.4533,False,Central Asia
PRY,0.0787160302932578,-0.3711916231079622,-0.4499,False,South America
NGA,-0.3728506522686086,-0.8219079514638667,-0.4491,True,Western Africa
SLB,-0.4022951595936451,-0.8468349231778701,-0.4445,False,Melanesia
CAF,-0.3180669285639251,-0.7556400252938477,-0.4376,False,Middle Africa
BFA,-0.402468953295531,-0.8392849811894152,-0.4368,False,Western Africa
GRD,-0.2642812815437407,-0.7000126757630367,-0.4357,False,Caribbean
CHN,-0.4445799871265966,-0.8718485763192979,-0.4273,True,Eastern Asia
AZE,-0.432938166612918,-0.8590018874205565,-0.4261,False,Western Asia
SWZ,-0.2368097567629722,-0.651289609025837,-0.4145,False,Southern Africa
GNB,-0.4198188282307084,-0.8191998454148333,-0.3994,False,Western Africa
SSD,-0.0316862125262239,-0.4241878948682547,-0.3925,False,Eastern Africa
CUB,-0.5326283048990189,-0.9176378254758052,-0.385,False,Caribbean
NER,-0.4431217169079059,-0.8255045732832171,-0.3824,False,Western Africa
BDI,-0.4431217169079059,-0.8207013614206319,-0.3776,False,Eastern Africa
MLI,-0.5090874319671238,-0.8840993474050693,-0.375,False,Western Africa
SDN,-0.5030030300035688,-0.8657826690772138,-0.3628,False,Northern Africa
SOM,-0.4228500504699854,-0.7804216623175523,-0.3576,False,Eastern Africa
KIR,-0.1206885478780934,-0.4264979800763683,-0.3058,False,Micronesia
IRN,-0.5965610436297735,-0.8899332867589251,-0.2934,False,Southern Asia
TKM,-0.5199933149572565,-0.7946779929577591,-0.2747,False,Central Asia
BLR,-0.5468476233272925,-0.8118121097900854,-0.265,False,Eastern Europe
ARG,0.6749609538014966,0.4400283101501643,-0.2349,True,South America
DMA,-0.228178448752381,-0.4334403688625274,-0.2053,False,Caribbean
NIC,-0.6435500186512504,-0.8247160562878377,-0.1812,False,Central America
ISR,0.8326997900665579,0.6582969138799584,-0.1744,True,Western Asia
RUS,-0.508955935792396,-0.678193162987652,-0.1692,True,Eastern Europe
BEN,-0.3747315893030687,-0.5425717076765195,-0.1678,False,Western Africa
NRU,0.0647354288350986,-0.1022326025136913,-0.167,False,Micronesia
PRK,-0.6597279468503834,-0.7506554440124309,-0.0909,False,Eastern Asia
BOL,-0.4363716506089584,-0.4429397839141492,-0.0066,False,South America
SYR,-0.6302624166967107,-0.5962153132020878,0.034,False,Western Asia
STP,-0.2447173987368029,-0.1631883414420549,0.0815,False,Middle Africa
VCT,-0.3422110952832182,-0.2284160962880642,0.1138,False,Caribbean
MDG,-0.2996122841062676,-0.1303215087856717,0.1693,False,Eastern Africa
